"","x"
"RT @rolandsmartin: If media outlets don't have Rep. Ron Paul at the top of this list for interviews after this #cnndebate, that is SHAMEFUL",20
"RT @rolandsmartin: Is Bachmann talking about creating engineers by offering visas? Stop cutting damn Pell Grants &amp; create our own in U.S.! #cnndebate",8
"RT @rolandsmartin: Media will say @newtgingrich won this debate. NOT TRUE. 1st half: Huntsman. Overall: Ron Paul #cnndebate",6
"RT @rolandsmartin: Oh, Mitt, &quot;we want those brains in our country.&quot; How about pushing hard to have MADE IN AMERICA engineers, chemists? #cnndebate",9
"RT @rolandsmartin: Rick Santorum's heads is about to explode for not getting a question #cnndebate",4
"RT @rolandsmartin: So cyber attacks are one of the major future threats, but GOP's in Congress want to slash Pell Grant money. #fail #cnndebate",11
"RT @rolandsmartin: Sorry, GOP'ers, u can't say no to taxing the rich &amp; cut financial aid for U.S. college students &amp; say we want more engineers. #cnndebate",27
"RT @rolandsmartin: These GOP folks are nuts. Let's be clear: the 12 million illegal immigrants ain't going ANYWHERE. So ya better figure it out! #cnndebate",4
"RT @rolandsmartin: Uh, oh. Mitt Romney just advanced the right wing lie of Pres Obama &quot;apologizing.&quot; #cnndebate",11
"RT @rolandsmartin: Yes, Mitt, our security forces have thwarted many attacks, even under Pres Obama. I bet you won't give him credit! #cnndebate",3
"RT @RonNehring: Strong point by @JonHuntsman - sanctions will not work because China and Russia won't play ball.  Absolutely correct. #CNNDebate",16
"RT @RonPaul: #RonPaul -- &quot;The biggest threat to our national security is our financial situation&quot; -- #CNNDebate #GOP2012 #tcot #tlot #teaparty",11
"RT @RonPaul: #RonPaul Stands with American Majority on Foreign Policy: http://t.co/NTbsZXr7 -- #CNNDebate #GOP2012 #tcot #tlot #teaparty",3
"RT @RonPaul: RT @talkmaster: Go get 'em Ron Paul!  They aren't cutting anything out of anything.  Base-line budgeting.  So right. #CNNDebate #tcot",9
"RT @RonPaul: Rush @Limbaugh Agrees w/ #RonPaul on Defense Cuts -  http://t.co/ZS05OJe5 -- #CNNDebate #GOP2012 #tcot #tlot #teaparty",5
"RT @RonpaulblogPaul: I worry most about overreaction on our part when our national security isn't threatened. - Ron Paul #RonPaul #CNNDebate",4
"RT @RonpaulblogPaul: The Taliban want us out of their country; they're not over here attacking us, they're attacking us over there. Ron Paul #RonPaul #cnndebate",4
"RT @RonpaulblogPaul: What if we had China put a &quot;no fly zone&quot; over the United States?  - Ron Paul  #RonPaul #gop2012 #CNNDebate",3
"RT @RonpaulblogPaul: Why should we spend more money and more lives starting another war?  Stop nation building and mind our own business.  - Ron Paul #CNNDebate",3
"RT @RonPaulForums: Congressman Ron Paul is rocking the Presidential Debate! #cnndebate #ronpaul #hashtag",3
"RT @RonPaulsFriend: #CNNDebate Is there any country we shouldn't consider going to war with? #ronpaul",5
"RT @RPaulTShirtDay: Ron Paul is right, if China were here, I'd grab a rifle and defend this country #cnndebate",3
"RT @RPaulTShirtDay: Ron Paul is trending.  TWITTER CAN'T CONTAIN SO MUCH LIBERTY #cnndebate",6
"RT @rumpfshaker: &quot;We should have a policy of goodwill&quot; Hey Ron Paul, the Golden Rule won't work with terrorists. We can't just hug it out! #cnndebate",7
"RT @rumpfshaker: And here's Ron Paul blaming us for 9/11 again. #headdesk #headdesk #headdesk #cnndebate",3
"RT @runedart: RT @WILLisms: Q: &quot;Governor Romney, where do you stand on immigration?&quot; A: &quot;Everywhere.&quot; #CNNdebate",3
"RT @RyanLizza: RT @alisonforns: forget no-fly zone, we need an electric sky moat   #cnndebate",3
"RT @SamValley: Shorter GOP candidates: Not supporting law-abiding illegal aliens is racist. #CNNDebate",3
"RT @SangyeH: Why aren't more people complaining that every question has come from Koch Heritage Foundation? #cnndebate",7
"RT @SaraCJohnsonGA: Here we go Ron Paul, show me how little you know about Islamic extremism #cnndebate",3
"RT @SaraJBenincasa: Did they just applaud Ron Paul relating to the Taliban? This crowd is so fucking high! #CNNDebate",3
"RT @SaraJBenincasa: Guys, Mitt Romney believes in American exceptionalism. Just FYI. Also, his hair is full of shoe polish. #CNNdebate",3
"RT @SethAMandel: People are reflexively tough on Perry now, but border state governors know immigration. Perry does. #CNNDebate",3
"RT @SGcatalyst: So the only people in the audience are Heritage Foundation or AEI? Shame on #CNNDebate for giving these two groups 100% of the questions!",5
"RT @sierrawallman: #RonPaul GOP Debate Money Bomb! Show your support for Dr. Paul donate at:: http://t.co/MYruHdPR  #cnndebate",4
"RT @sierrawallman: RT @BlackSheepRpt: #cnndebate - Ron Paul works for individuals, not lobbyists. He serves. Just look at his track record. A man of integrity.",3
"RT @sierrawallman: Why should we spend more money and more lives starting another war?  Stop nation building and mind our own business.  - Ron Paul #CNNDebate",6
"RT @silveracer44: #RonPaul calling out @Paulwolfowitz haha. Nice. #cnndebate",8
"RT @skunkwkrz: #cnndebate Retweet if you are voting for Ron Paul!",4
"RT @SlaughterAM: ok -- that's two (women who have asked questions at #cnndebate)",3
"RT @SlaughterAM: Still only one woman has asked a question.... at least 8 questioners and counting. #cnndebate",10
"RT @Smalltalkwitht: Great analogy!!!!   RT @jimcobber: Ron Paul = Neville Chamberlain #cnndebate",3
"RT @Smalltalkwitht: Thank you God for allowing Ron Paul to speak so that he's not elected president in 2012.  #cnndebate",6
"RT @smitty_one_each: Ron, your analysis of the Taliban is way off. #CNNDebate",3
"RT @son_loves_crows: #TheHermanCain looking strong when they bother to give him a question. #cnndebate",4
"RT @SooperMexican: &quot;all they want to do is get people who occupy their country out of their country&quot; - ROn Pawl, insanely ignorant of history #cnndebate",3
"RT @SooperMexican: Cain thinks a no-fly zone is about keeping bugs out of the pizza kitchen... #cnndebate",5
"RT @southernavenger: Ron Paul is on fire tonight #cnndebate",29
"RT @spsenski: Romney - I'm going to use covert actions in Syria. Except now they're not covert anymore. Oops. #CNNdebate",3
"RT @Steele_Michael: Did Romney just refer to a drive-by? #cnndebate",4
"RT @Steele_Michael: oh my,Ron Paul sounded as if he were about cry there for a moment. #cnndebate",3
"RT @Steele_Michael: Romney: 'you're all right,&quot; Now make me president. #cnndebate.",8
"RT @stevensantos: The #GOPdebate can be summed up as: Be more paranoid about foreigners and start more wars. The General Jack D. Ripper Philosophy.",3
"RT @stillblazingtho: &quot;Believe me, the kids can still get the drugs. It just doesn't work&quot; - Ron Paul #WarOnDrugs #CNNdebate",34
"RT @studentactivism: Blitzer: &quot;Herman Cain, you may not know this, but...&quot; Every journo should start every sentence in every Cain interview that way. #CNNDebate",7
"RT @studentactivism: Henry Kissinger asking the next question. The Zodiac Killer is on line behind him. #CNNDebate",6
"RT @studentactivism: Perry just said &quot;overt, covert &&quot; like he thought there was a third. #CNNDebate #bovert #jovert #zovert",6
"RT @sullydish: Another war criminal as a questioner: Dick Cheney's enforcer, David Addington. #cnndebate http://t.co/g5ekjpUR",37
"RT @sullydish: Romney is giving us Full Neocon Jacket. With added anti-China sabre-ratling. There is no place US should not ultimately control. #cnndebate",3
"RT @SummerNasser: &quot;#RonPaul: Why don't we just mind our own business?!&quot; #CNNDebate",4
"RT @SunFoundation: David Addington is the Vice President, Domestic &amp; Economic Policy at the Heritage Foundation http://t.co/KcQ0omom #cnndebate #sunlive",3
"RT @SupermanHotMale: Dear Friends, The #GopDebate is ot a comedy hour, they mean what they say... Don't vote for any of them.",4
"RT @SupermanHotMale: Ever notice how #Gop hates you having health care but they don't care what happened to that 8 billion in CASH Bush lost in Iraq #GopDebate",3
"RT @SusanECloud: This is, hands down, @GovernorPerry's best debate. Who'd have thunk it'd be a foreign policy debate on which he'd shine? PROPS! #CNNDebate",9
"RT @swalchek: People will KNOW #RonPaul when this is all over. Just proved he is the only candidate that supports peace...#CNNDebate.",4
"RT @TeamBachmann: On securing our border, @GovernorPerry called a fence &quot;nonsense.&quot; Video: http://t.co/JH4XoppX #CNNDebate",4
"RT @TeamRickPerry: .@GovernorPerry: We have to put the boots on the ground and the aviation assets in place to secure the border #CNNdebate",3
"RT @TeamRickPerry: &quot;I think it's time for a 21st Century Monroe Doctrine&quot; #CNNdebate",4
"RT @TeamRomney: RT .@MittRomney: Secure our border, protect legal immigration, return to a system that follows the law #Mitt2012 #CNNDebate",3
"RT @teapartynation: Ron Paul's foreign policy, unilateral surrender.  #cnndebate #teapartynation #tcot #gop2012",4
"RT @TeresaKopec: I think the 250 plus people on Pan-Am 103 might disagree about whether the US has an interest in Libya. #CNNdebate",6
"RT @TerryMoran: Hunstman: &quot;We missed the Persian Spring.&quot; Great line. #cnndebate",12
"RT @TerryMoran: Romney--waffling as always: &quot;I'm not going to draw lines on who gets to stay and who gets to go.&quot; That was the question. #cnndebate",3
"RT @TexasGrizzlette: Paul defending the Taliban. End of any credibility he may have had. #cnndebate",6
"RT @tgiovanetti: Newt just did the best job anyone's ever done in trying to solve the immigration conundrum on the Right. #CNNdebate",3
"RT @ThatChrisGore: The debates would be better if moderated by Bill Maher, John Stewart &amp; Stephen Colbert. At least they would be funny. More funny. #CNNdebate",3
"RT @TheFix: &quot;I am prepared to take the heat for saying let's be humane in enforcing the law.&quot; -- Newt on immigration. #cnndebate",11
"RT @TheFix: &quot;Terrorism is a tactic. It isn't a person. it isn't a people.&quot; -- Ron Paul #cnndebate.",6
"RT @TheFix: &quot;The Al Quaeda&quot; is my favorite term of this #cnndebate. That or &quot;Africa is a country&quot;",17
"RT @TheFix: 20 mins left in debate.  Newt winning. Romney solid. Huntsman good but doing a disappearing act. Cain, uh, not so good. #cnndebate",3
"RT @TheFix: And, yes, David Addington is Dick Cheney's former chief of staff. #cnndebate",9
"RT @TheFix: David Addington: Not a big believer in changing pitch while speaking. #cnndebate",4
"RT @TheFix: Herman Cain LOVES to blink. #cnndebate",4
"RT @TheFix: Honestly, how many people work at Heritage and AEI? There are thousands of them! #cnndebate",15
"RT @TheFix: Huntsman is good tonight.  Hasn't gotten that much time and occasionally disappears (ala LeBron) but has been solid. #cnndebate",25
"RT @TheFix: I miss the debate when Perry went after Mitt's illegal lawn workers. Those were the days...#cnndebate",3
"RT @TheFix: I need to take a short break from Twitter to go to my window and scream: &quot;It's my money and I need it now.&quot; #cnndebate",13
"RT @TheFix: Look, Newt invented government. Deal with it. #cnndebate",16
"RT @TheFix: Romney is most facile debater; can do foreign or economic policy, has tons of facts at his disposal, doesn't get rattled. #cnndebate",18
"RT @TheFix: Ron Paul just said &quot;The Al Quaeda&quot;. Look that up on your Google machine. #cnndebate",11
"RT @TheFix: So...does this mean no &quot;this or that&quot; in the #cnndebate? I am disappointed. And, yes, I am serious.",4
"RT @TheFix: This #cnndebate proves that Ron Paul is just barely a Republican. MUCH more aligned with Libertarians.",17
"RT @TheFix: Wait, what the hell is an &quot;electromagnetic pulse attack&quot;?! I am NOT going to be able to sleep tonight. #cnndebate",12
"RT @TheFix: Your are looking LIVE at Tahrir Square (Brent Musburger voice). #cnndebate",10
"RT @thegarance: I wonder who had the contract to train the think-tankers for their TV moment. #CNNdebate",3
"RT @THEHermanCain: From Team HC: The most effective tools we have are a strong military and our own economic strength #cnndebate",37
"RT @THEHermanCain: From Team HC: Yes, an insecure border is a national security threat! #cnndebate",5
"RT @THEHermanCain: Team HC: The terrorists have one objective: to kill all of us! We must use every means possible to identify them first! #cnndebate",3
"RT @themoornextdoor: RT @SlaughterAM: Still only one woman has asked a question.... at least 8 questioners and counting. #cnndebate",3
"RT @TheNewDeal: Obama Took Out Bin Laden &amp; Gaddafi in One Term. National Security Debate: OVER. #CNNdebate #p2 #tcot",16
"RT @theonlyadult: Did @barackobama win the #cnndebate already, or should we be polite and wait to the end?",5
"RT @theprospect: Paul: &quot;Why should we spend more money and lives on another war? ... Why don't we mind our own business?&quot; #CNNdebate #foundationofPaulfopo",4
"RT @TheReidReport: Before you give the audience too much credit for not booing Newt rem: Heritage/AEI are pro-permanent immigrant worker underclass. #CNNdebate",10
"RT @TheReidReport: Wait... Rick Perry just said China's headed for the ash heap of history because of abortion... Ok I give up. #CNNdebate",4
"RT @TheRickWilson: So much this: @BoreGuru: These questioners from Heritage &amp; AEI make previous debate questioners look like schoolchildren.  #CNNdebate",3
"RT @TheRightDuff: A foreign policy question, and Wolf begins &quot;Herman Cain, you may not know this...&quot; Yeah, no kidding. #cnndebate",5
"RT @TheTeaParty_net: Cain Cyber threats are the issue of the future, we need to pay close attention to them #tcot #gop #teacyber #cnndebate",3
"RT @TheTeaParty_net: CainWe talk cutting an compromise but don't tlk about the other the other side of the problem. Growing the economy #teacyber #cnndebate",3
"RT @TheTeaParty_net: Gingrich Terrorism, electromagnetic attack, and cyber security are the risks of the future #tcot #gop #teacyber #cnndebate",3
"RT @TinaKorbe: Why, when the GOP talks about immigration, do they never talk about reforming the quota system? #cnndebate",4
"RT @tkinder: Just saw a commercial saying, &quot;It's my money, and I need it now!&quot; Were those former MF Global customers? #CNNDebate",3
"RT @toddbarry: &quot;You may not know this.&quot; #CNNDebate",3
"RT @toddbarry: Bachmann is dressed like she plays bass for The Romantics. #CNNDebate",4
"RT @toddstarnes: So - uh -- hmm -- don't know how to put this  - but is there anyone else who wants to run for the WH? #cnndebate",4
"RT @toddstarnes: Todd's #cnndebate question &quot;Mr. Paul, why do you scare me?&quot;",3
"RT @TonyRomm: Nothing on Euro debt. Very little on China. #cnndebate needs to diversify the issues here. We've heard enough on immigration over the months",4
"RT @Tori_Lennox: Al-Qaeda is &quot;annoyed&quot; with us? Dude, they HATE US!!!!  #CNNDebate",4
"RT @TPPatriots: America has 2 great things The Constitution and zerox. Want to nation build? Demand use of our founding documents #GOPdebate #CNNdebate",3
"RT @TPPatriots: The Taliban are NOT freedom fighters. They are murderers of their own people. #GOPdebate #CNNdebate sorry @ronpaul, you're wrong",3
"RT @TriciaNC1: from Heritage tweets, they're liking Perry's answers. #tcot #teaparty #ocra #gop #gop2012 #cnndebate",9
"RT @Tuckertown: Ron Paul is the only one here who didn't drink the kool aid. #cnndebate",3
"RT @TUSK81: Mittens: Obama apologizes to our enemies. Yes, Mr. Romney, he apologized a bullet right through bin Laden's brain. #GOPDebate #p2 #tcot",5
"RT @txvoodoo: Seriously, can't they get ANYONE who's not in a think tank to ask a Q? #CNNDebate",3
"RT @umairh: I want my brain back #CNNdebate",5
"RT @UnivisionNews: Bachmann campaign email: &quot;Newt Gingrich's Open Door to Illegal Immigrant Amnesty&quot; #cnndebate",3
"RT @UOJim: &quot;And now, for the official declaration of tonight's winner, we go to John Yoo.&quot; #CNNDebate",4
"RT @usernamenuse: @melissa5001 World Wide Trend for Ron Paul #RonPaul #CNNDebate",3
"RT @venzkec: When did this become about saving Israel? Did I miss something? #CNNDebate",4
"RT @walkofshameband: #CNNDebate It's tragic that Ron Paul and Jon Hunstman are by far the best/smartest candidates and are considered &quot;jokes&quot; by Repub. voters.",3
"RT @washingtonpost: Ron Paul now: I think the Patriot Act is unpatriotic because it undermines our liberty. http://t.co/0vF7k17e #CNNDebate",28
"RT @washingtonpost: Ron Paul: The biggest threat to our national security is our financial condition http://t.co/0vF7k17e #CNNDebate",5
"RT @washingtonpost: Santorum: &quot;Africa was a country on the brink&quot; http://t.co/0vF7k17e #CNNDebate",4
"RT @WftRight: Rick Perry is probably right that China is a big issue for the future. This answer makes him look better. #CNNdebate",3
"RT @whoiswillo: I just declared Rick Perry's bullshit a 'no fly zone'. #CNNdebate",6
"RT @WILLisms: Indeed. RT @MelissaTweets: Perry is right. Until the border is secured, this is all an &quot;intellectual exercise.&quot;  #cnndebate",7
"RT @WILLisms: Q: &quot;Governor Romney, where do you stand on immigration?&quot; A: &quot;Everywhere.&quot; #CNNdebate",16
"RT @WILLisms: With a few glaring exceptions, this was the copycat debate. Everyone following @GovernorPerry's lead on a variety of issues. #CNNdebate",3
"RT @Women4Huntsman: Somebody get a screen grab of how everyone else on stage closely looks at @JonHuntsman when he speaks. True leader. #jon2012 #CNNDEBATE",5
"RT @YasirTineh: Ron Paul &quot;What If we just mind our own business&quot;  #CNNDEBATE Damn I'm not in the US or a US citizen &amp; I want to vote for this guy.",3
"RT @YeahItsAbe: I just saw Mitt Romney cartoonishly turn into a turkey leg in Dems eyes...#CNNDebate",3
"RT @YoshuaDavis: Steve Gates, the founder of Applesoft. I can not wait for the iZune. #CNNdebate",14
"The Arab spring a good thing?  Islamists are taking over the middle east.  Who the hell thinks that is good?  #teapartynation #cnndebate",3
"Why do we support a country like Saudi Arabia that practices Sharia Law but we don't support Republics like Lebanon and Iran? #CNNDebate",3
"Wow, a well produced debate with more than soundbytes! Great to see it with you all! #GOPdebate #CNNdebate",3
